(20062, 38201, 74433, 75220, 108492, 89062, 54345, 101617, 75360, 70927)
(38201, 74433, 75220, 108492, 89062, 54345, 101617, 75360, 70927, 103024)
(74433, 75220, 108492, 89062, 54345, 101617, 75360, 70927, 103024, 78173)
(75220, 108492, 89062, 54345, 101617, 75360, 70927, 103024, 78173, 75555)
(108492, 89062, 54345, 101617, 75360, 70927, 103024, 78173, 75555, 67276)
(89062, 54345, 101617, 75360, 70927, 103024, 78173, 75555, 67276, 97793)
(54345, 101617, 75360, 70927, 103024, 78173, 75555, 67276, 97793, 115839)
(101617, 75360, 70927, 103024, 78173, 75555, 67276, 97793, 115839, 103799)
(75360, 70927, 103024, 78173, 75555, 67276, 97793, 115839, 103799, 110370)
(70927, 103024, 78173, 75555, 67276, 97793, 115839, 103799, 110370, 91781)
(103024, 78173, 75555, 67276, 97793, 115839, 103799, 110370, 91781, 102787)
(78173, 75555, 67276, 97793, 115839, 103799, 110370, 91781, 102787, 121689)
(75555, 67276, 97793, 115839, 103799, 110370, 91781, 102787, 121689, 115403)
(67276, 97793, 115839, 103799, 110370, 91781, 102787, 121689, 115403, 123322)
(97793, 115839, 103799, 110370, 91781, 102787, 121689, 115403, 123322, 109506)
(115839, 103799, 110370, 91781, 102787, 121689, 115403, 123322, 109506, 111617)
(103799, 110370, 91781, 102787, 121689, 115403, 123322, 109506, 111617, 95330)
(110370, 91781, 102787, 121689, 115403, 123322, 109506, 111617, 95330, 66882)
(91781, 102787, 121689, 115403, 123322, 109506, 111617, 95330, 66882, 80595)
(102787, 121689, 115403, 123322, 109506, 111617, 95330, 66882, 80595, 94712)
(121689, 115403, 123322, 109506, 111617, 95330, 66882, 80595, 94712, 65645)
(115403, 123322, 109506, 111617, 95330, 66882, 80595, 94712, 65645, 46403)
(123322, 109506, 111617, 95330, 66882, 80595, 94712, 65645, 46403, 67340)
(109506, 111617, 95330, 66882, 80595, 94712, 65645, 46403, 67340, 97921)
(111617, 95330, 66882, 80595, 94712, 65645, 46403, 67340, 97921, 116095)
(95330, 66882, 80595, 94712, 65645, 46403, 67340, 97921, 116095, 104311)
(66882, 80595, 94712, 65645, 46403, 67340, 97921, 116095, 104311, 110370)
(80595, 94712, 65645, 46403, 67340, 97921, 116095, 104311, 110370, 91781)
(94712, 65645, 46403, 67340, 97921, 116095, 104311, 110370, 91781, 102787)
(65645, 46403, 67340, 97921, 116095, 104311, 110370, 91781, 102787, 121689)
(46403, 67340, 97921, 116095, 104311, 110370, 91781, 102787, 121689, 115403)
(67340, 97921, 116095, 104311, 110370, 91781, 102787, 121689, 115403, 123368)
(97921, 116095, 104311, 110370, 91781, 102787, 121689, 115403, 123368, 109572)
(116095, 104311, 110370, 91781, 102787, 121689, 115403, 123368, 109572, 111654)
(104311, 110370, 91781, 102787, 121689, 115403, 123368, 109572, 111654, 95429)
(110370, 91781, 102787, 121689, 115403, 123368, 109572, 111654, 95429, 67037)
(91781, 102787, 121689, 115403, 123368, 109572, 111654, 95429, 67037, 80909)
(102787, 121689, 115403, 123368, 109572, 111654, 95429, 67037, 80909, 95332)
(121689, 115403, 123368, 109572, 111654, 95429, 67037, 80909, 95332, 66885)
(115403, 123368, 109572, 111654, 95429, 67037, 80909, 95332, 66885, 48856)
(123368, 109572, 111654, 95429, 67037, 80909, 95332, 66885, 48856, 72135)
(109572, 111654, 95429, 67037, 80909, 95332, 66885, 48856, 72135, 60427)
(111654, 95429, 67037, 80909, 95332, 66885, 48856, 72135, 60427, 67721)
(95429, 67037, 80909, 95332, 66885, 48856, 72135, 60427, 67721, 104760)
(67037, 80909, 95332, 66885, 48856, 72135, 60427, 67721, 104760, 85741)
(80909, 95332, 66885, 48856, 72135, 60427, 67721, 104760, 85741, 86605)
(95332, 66885, 48856, 72135, 60427, 67721, 104760, 85741, 86605, 88256)
(66885, 48856, 72135, 60427, 67721, 104760, 85741, 86605, 88256, 100861)
(48856, 72135, 60427, 67721, 104760, 85741, 86605, 88256, 100861, 73837)
(72135, 60427, 67721, 104760, 85741, 86605, 88256, 100861, 73837, 67840)
(60427, 67721, 104760, 85741, 86605, 88256, 100861, 73837, 67840, 112253)
(67721, 104760, 85741, 86605, 88256, 100861, 73837, 67840, 112253, 96585)
(104760, 85741, 86605, 88256, 100861, 73837, 67840, 112253, 96585, 75492)
(85741, 86605, 88256, 100861, 73837, 67840, 112253, 96585, 75492, 112197)
(86605, 88256, 100861, 73837, 67840, 112253, 96585, 75492, 112197, 96499)
(88256, 100861, 73837, 67840, 112253, 96585, 75492, 112197, 96499, 75372)
(100861, 73837, 67840, 112253, 96585, 75492, 112197, 96499, 75372, 111937)
(73837, 67840, 112253, 96585, 75492, 112197, 96499, 75372, 111937, 95999)
(67840, 112253, 96585, 75492, 112197, 96499, 75372, 111937, 95999, 74359)
(112253, 96585, 75492, 112197, 96499, 75372, 111937, 95999, 74359, 109842)
(96585, 75492, 112197, 96499, 75372, 111937, 95999, 74359, 109842, 91762)
(75492, 112197, 96499, 75372, 111937, 95999, 74359, 109842, 91762, 102753)
(112197, 96499, 75372, 111937, 95999, 74359, 109842, 91762, 102753, 121645)
(96499, 75372, 111937, 95999, 74359, 109842, 91762, 102753, 121645, 115416)
(75372, 111937, 95999, 74359, 109842, 91762, 102753, 121645, 115416, 123423)
(111937, 95999, 74359, 109842, 91762, 102753, 121645, 115416, 123423, 109755)
(95999, 74359, 109842, 91762, 102753, 121645, 115416, 123423, 109755, 112097)
(74359, 109842, 91762, 102753, 121645, 115416, 123423, 109755, 112097, 96320)
(109842, 91762, 102753, 121645, 115416, 123423, 109755, 112097, 96320, 68847)
(91762, 102753, 121645, 115416, 123423, 109755, 112097, 96320, 68847, 100955)
(102753, 121645, 115416, 123423, 109755, 112097, 96320, 68847, 100955, 122145)
(121645, 115416, 123423, 109755, 112097, 96320, 68847, 100955, 122145, 116416)
(115416, 123423, 109755, 112097, 96320, 68847, 100955, 122145, 116416, 123343)
(123423, 109755, 112097, 96320, 68847, 100955, 122145, 116416, 123343, 117744)
(109755, 112097, 96320, 68847, 100955, 122145, 116416, 123343, 117744, 121949)
(112097, 96320, 68847, 100955, 122145, 116416, 123343, 117744, 121949, 116003)
(96320, 68847, 100955, 122145, 116416, 123343, 117744, 121949, 116003, 122572)
(68847, 100955, 122145, 116416, 123343, 117744, 121949, 116003, 122572, 116225)
(100955, 122145, 116416, 123343, 117744, 121949, 116003, 122572, 116225, 118911)
(122145, 116416, 123343, 117744, 121949, 116003, 122572, 116225, 118911, 109943)
(116416, 123343, 117744, 121949, 116003, 122572, 116225, 118911, 109943, 110401)
(123343, 117744, 121949, 116003, 122572, 116225, 118911, 109943, 110401, 91814)
(117744, 121949, 116003, 122572, 116225, 118911, 109943, 110401, 91814, 102810)
(121949, 116003, 122572, 116225, 118911, 109943, 110401, 91814, 102810, 121777)
(116003, 122572, 116225, 118911, 109943, 110401, 91814, 102810, 121777, 115662)
(122572, 116225, 118911, 109943, 110401, 91814, 102810, 121777, 115662, 123930)
(116225, 118911, 109943, 110401, 91814, 102810, 121777, 115662, 123930, 110723)
(118911, 109943, 110401, 91814, 102810, 121777, 115662, 123930, 110723, 114008)
(109943, 110401, 91814, 102810, 121777, 115662, 123930, 110723, 114008, 100141)
(110401, 91814, 102810, 121777, 115662, 123930, 110723, 114008, 100141, 76483)
(91814, 102810, 121777, 115662, 123930, 110723, 114008, 100141, 76483, 68099)
(102810, 121777, 115662, 123930, 110723, 114008, 100141, 76483, 68099, 99439)
(121777, 115662, 123930, 110723, 114008, 100141, 76483, 68099, 99439, 119140)
(115662, 123930, 110723, 114008, 100141, 76483, 68099, 99439, 119140, 110385)
(123930, 110723, 114008, 100141, 76483, 68099, 99439, 119140, 110385, 110303)
(110723, 114008, 100141, 76483, 68099, 99439, 119140, 110385, 110303, 91703)
(114008, 100141, 76483, 68099, 99439, 119140, 110385, 110303, 91703, 102593)
(100141, 76483, 68099, 99439, 119140, 110385, 110303, 91703, 102593, 121254)
(76483, 68099, 99439, 119140, 110385, 110303, 91703, 102593, 121254, 114586)
(68099, 99439, 119140, 110385, 110303, 91703, 102593, 121254, 114586, 121777)
(99439, 119140, 110385, 110303, 91703, 102593, 121254, 114586, 121777, 115662)
(119140, 110385, 110303, 91703, 102593, 121254, 114586, 121777, 115662, 123930)
(110385, 110303, 91703, 102593, 121254, 114586, 121777, 115662, 123930, 110723)
(110303, 91703, 102593, 121254, 114586, 121777, 115662, 123930, 110723, 114008)
(91703, 102593, 121254, 114586, 121777, 115662, 123930, 110723, 114008, 100141)
(102593, 121254, 114586, 121777, 115662, 123930, 110723, 114008, 100141, 76483)
(121254, 114586, 121777, 115662, 123930, 110723, 114008, 100141, 76483, 68099)
(114586, 121777, 115662, 123930, 110723, 114008, 100141, 76483, 68099, 99439)
(121777, 115662, 123930, 110723, 114008, 100141, 76483, 68099, 99439, 119140)
(115662, 123930, 110723, 114008, 100141, 76483, 68099, 99439, 119140, 110385)
(123930, 110723, 114008, 100141, 76483, 68099, 99439, 119140, 110385, 110303)
(110723, 114008, 100141, 76483, 68099, 99439, 119140, 110385, 110303, 91703)
(114008, 100141, 76483, 68099, 99439, 119140, 110385, 110303, 91703, 102593)
(100141, 76483, 68099, 99439, 119140, 110385, 110303, 91703, 102593, 121254)
(76483, 68099, 99439, 119140, 110385, 110303, 91703, 102593, 121254, 114586)
(68099, 99439, 119140, 110385, 110303, 91703, 102593, 121254, 114586, 121777)
(99439, 119140, 110385, 110303, 91703, 102593, 121254, 114586, 121777, 115662)
(119140, 110385, 110303, 91703, 102593, 121254, 114586, 121777, 115662, 123930)
